PRISM Time Series Data
Location:  Lat: 35.3667   Lon: -101.3947   Elev: 3458ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2008-01-01 - 2020-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-Jul-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2010-09-29,0.00,52.1,68.3,84.6,47.8,2.00,30.17
2010-09-30,0.00,52.2,73.1,93.9,49.7,1.81,44.71
2010-10-01,0.00,52.5,66.2,79.9,47.4,2.61,23.48
2010-10-02,0.00,52.1,67.5,82.9,47.5,2.66,26.54
2010-10-03,0.66,45.0,59.8,74.5,42.9,1.21,18.95
2010-10-04,0.23,44.9,52.4,60.0,43.6,0.89,6.56
2010-10-05,0.00,46.1,60.0,73.9,43.7,2.02,18.03
2010-10-06,0.00,44.0,61.1,78.2,43.1,0.94,22.96
2010-10-07,0.00,47.2,65.6,84.1,44.4,2.07,30.53
2010-10-08,0.00,51.9,69.3,86.8,44.8,3.56,33.45
2010-10-09,0.00,49.5,67.5,85.5,39.4,3.55,33.91
2010-10-10,0.00,47.0,63.2,79.3,37.1,2.75,27.58
2010-10-11,0.00,46.7,60.1,73.5,42.3,2.37,18.41
2010-10-12,0.00,45.8,60.2,74.6,41.4,1.96,21.39
2010-10-13,0.00,43.6,59.8,76.0,42.2,1.42,22.45
2010-10-14,0.00,42.0,54.9,67.8,35.6,1.69,16.11
2010-10-15,0.00,42.4,62.0,81.6,38.6,2.38,28.93
2010-10-16,0.00,46.8,67.1,87.4,36.5,3.29,38.14
2010-10-17,0.00,47.7,66.1,84.6,35.8,3.73,34.29
2010-10-18,0.00,47.3,64.7,82.0,40.3,3.44,29.75
2010-10-19,0.00,42.0,58.6,75.3,41.1,1.35,20.97
2010-10-20,0.00,42.9,57.2,71.5,40.5,1.10,17.32
2010-10-21,0.00,43.7,59.3,74.9,45.6,0.99,21.30
2010-10-22,1.15,45.5,56.9,68.3,53.6,0.00,7.92
2010-10-23,0.00,44.9,55.9,66.8,48.3,0.00,10.70
2010-10-24,0.00,45.5,60.4,75.4,41.8,1.42,22.36
2010-10-25,0.00,41.8,59.2,76.6,41.3,0.56,23.74
2010-10-26,0.00,39.3,57.9,76.5,37.2,2.16,23.06
2010-10-27,0.00,34.8,51.0,67.1,20.8,2.25,19.96
2010-10-28,0.00,30.1,48.5,66.9,18.6,1.69,19.47
2010-10-29,0.00,30.9,47.7,64.5,23.2,1.62,17.30
2010-10-30,0.00,38.3,56.3,74.2,29.5,2.91,23.90
2010-10-31,0.00,48.1,65.9,83.7,32.5,4.65,34.03
2010-11-01,0.00,35.3,54.7,74.1,34.2,0.36,23.32
2010-11-02,0.00,33.3,47.2,61.2,34.5,0.38,11.69
2010-11-03,0.00,33.2,49.3,65.3,32.3,0.48,15.23
2010-11-04,0.00,29.9,49.6,69.4,31.1,0.82,18.40
2010-11-05,0.00,28.1,43.6,59.2,20.3,1.35,13.87
2010-11-06,0.00,28.6,47.2,65.8,24.0,1.51,16.87
2010-11-07,0.00,34.7,55.5,76.2,28.3,1.78,25.58
2010-11-08,0.00,39.9,58.5,77.0,26.5,3.60,27.64
2010-11-09,0.00,42.4,61.6,80.8,29.4,3.49,31.79
2010-11-10,0.00,32.6,54.1,75.6,27.1,1.41,26.12
2010-11-11,0.00,31.9,46.2,60.6,29.3,1.00,12.96
2010-11-12,0.62,31.4,47.6,63.8,43.1,0.11,8.94
2010-11-13,1.33,25.8,32.1,38.4,31.7,0.03,0.99
2010-11-14,0.00,26.3,38.7,51.0,27.6,0.29,8.50
2010-11-15,0.00,27.5,37.9,48.2,31.5,0.23,5.22
2010-11-16,0.00,28.5,39.5,50.6,33.6,0.00,5.47
2010-11-17,0.00,28.4,43.8,59.2,29.3,0.49,12.22
2010-11-18,0.00,21.4,32.4,43.3,30.7,0.02,3.07
2010-11-19,0.00,21.7,39.0,56.4,29.7,0.03,9.44
2010-11-20,0.00,28.0,49.0,69.9,25.4,0.13,20.76
2010-11-21,0.00,32.1,52.9,73.7,28.1,0.85,24.57
2010-11-22,0.00,33.1,52.9,72.6,26.8,1.21,23.45
2010-11-23,0.00,24.1,44.4,64.7,22.7,0.84,16.75
2010-11-24,0.00,26.8,45.7,64.6,25.4,1.11,17.16
2010-11-25,0.00,16.5,41.4,66.4,14.4,1.07,19.79
2010-11-26,0.00,14.2,25.1,36.0,5.7,0.74,5.38
2010-11-27,0.00,9.6,31.2,52.9,7.5,0.28,12.07
2010-11-28,0.00,23.8,41.6,59.3,9.5,1.81,15.37
2010-11-29,0.00,28.6,45.6,62.5,17.7,2.08,16.47
2010-11-30,0.00,18.7,32.6,46.5,16.7,0.82,6.80
2010-12-01,0.00,18.7,31.1,43.6,7.9,1.14,7.44
2010-12-02,0.00,20.0,38.9,57.8,13.2,1.26,13.73
2010-12-03,0.00,33.1,47.3,61.5,19.3,2.82,14.94
2010-12-04,0.00,34.9,53.2,71.6,24.2,2.30,22.03
2010-12-05,0.00,21.1,33.4,45.7,20.7,0.51,6.91
2010-12-06,0.00,19.7,29.9,40.2,17.1,0.61,5.29
2010-12-07,0.00,19.0,35.7,52.4,19.0,0.64,9.59
2010-12-08,0.00,20.1,33.3,46.5,25.4,0.10,6.78
2010-12-09,0.00,26.1,42.6,59.0,25.4,0.44,12.59
2010-12-10,0.00,32.7,47.5,62.3,25.0,2.15,14.70
2010-12-11,0.00,30.2,44.5,58.8,26.1,1.32,12.38
2010-12-12,0.00,18.2,33.6,49.0,13.7,1.06,9.08
2010-12-13,0.00,19.4,32.8,46.2,10.2,1.28,8.44
2010-12-14,0.00,25.1,47.5,69.9,19.0,1.41,20.90
2010-12-15,0.00,23.6,42.8,62.1,18.3,1.06,15.49
2010-12-16,0.00,24.1,49.8,75.4,18.8,0.68,28.10
2010-12-17,0.06,25.1,33.7,42.3,24.5,0.00,5.30
2010-12-18,0.10,24.0,29.5,35.0,29.4,0.00,1.43
2010-12-19,0.00,20.9,33.0,45.0,27.1,0.22,4.71
2010-12-20,0.00,17.5,37.1,56.8,33.7,0.00,8.49
2010-12-21,0.00,30.8,48.2,65.5,32.3,0.45,15.29
2010-12-22,0.00,29.6,42.5,55.4,30.7,0.23,8.48
2010-12-23,0.00,20.3,29.1,37.9,22.2,0.02,3.56
2010-12-24,0.00,26.6,35.3,44.0,29.3,0.12,3.92
2010-12-25,0.00,18.2,32.5,46.8,25.7,0.13,5.79
2010-12-26,0.00,17.4,25.0,32.6,19.8,0.21,2.00
2010-12-27,0.00,21.2,37.8,54.4,23.4,0.47,9.99
2010-12-28,0.00,22.5,35.5,48.6,23.6,0.37,7.16
2010-12-29,0.00,28.7,40.6,52.5,26.9,0.86,8.55
2010-12-30,0.00,31.2,47.0,62.7,24.6,1.11,15.64
2010-12-31,0.18,24.1,42.6,61.0,27.2,0.75,13.97
2011-01-01,0.00,5.2,17.3,29.3,4.1,0.37,3.59
2011-01-02,0.00,4.9,18.8,32.7,2.9,0.38,4.60
2011-01-03,0.00,9.2,28.1,47.1,4.0,0.60,9.34
2011-01-04,0.00,13.3,37.6,61.9,10.7,0.25,17.07
2011-01-05,0.00,14.5,30.3,46.2,17.2,0.29,7.21
2011-01-06,0.00,21.5,39.0,56.4,12.8,1.11,13.29
2011-01-07,0.00,22.0,39.9,57.8,15.3,1.19,13.47
2011-01-08,0.00,22.8,38.1,53.3,23.4,0.49,8.64
2011-01-09,0.00,22.0,38.4,54.9,22.1,0.48,10.47
2011-01-10,0.00,21.8,30.6,39.4,27.8,0.04,2.35
2011-01-11,0.00,2.1,15.1,28.1,11.2,0.07,1.05
2011-01-12,0.00,3.0,20.4,37.7,8.6,0.25,5.56
2011-01-13,0.00,19.3,25.0,30.6,9.7,0.93,3.42
2011-01-14,0.00,22.6,36.2,49.7,14.6,1.51,8.97
2011-01-15,0.00,22.0,39.6,57.1,20.0,0.89,12.09
2011-01-16,0.00,24.7,41.5,58.2,23.7,0.97,11.86
2011-01-17,0.00,27.2,37.9,48.7,30.4,0.26,5.47
2011-01-18,0.29,30.1,49.7,69.3,32.8,0.18,19.15
2011-01-19,0.17,32.3,43.6,54.8,35.0,0.08,7.26
2011-01-20,0.00,15.7,33.3,51.0,27.1,0.01,5.03
2011-01-21,0.00,15.7,25.1,34.4,12.7,0.48,4.01
2011-01-22,0.00,20.5,35.6,50.7,17.8,0.88,8.77
2011-01-23,0.00,25.1,43.0,61.0,20.8,1.20,15.19
2011-01-24,0.00,18.9,31.8,44.6,18.3,0.52,6.67
2011-01-25,0.00,16.0,30.6,45.1,21.8,0.14,6.41
2011-01-26,0.00,18.8,35.3,51.8,14.8,0.41,10.46
2011-01-27,0.00,18.8,33.7,48.6,21.0,0.66,7.23
2011-01-28,0.00,27.4,44.1,60.8,18.6,1.40,14.45
2011-01-29,0.00,28.5,49.6,70.7,11.3,2.54,23.10
2011-01-30,0.00,26.6,49.1,71.7,18.1,0.48,23.41
2011-01-31,0.00,21.9,30.2,38.6,25.0,0.13,3.09
2011-02-01,0.03,3.1,15.2,27.4,15.2,0.09,0.70
2011-02-02,0.00,-5.4,1.5,8.4,-4.2,0.21,0.81
2011-02-03,0.00,-5.7,2.9,11.5,-4.4,0.22,1.21
2011-02-04,0.00,-5.0,8.1,21.2,-0.1,0.24,2.17
2011-02-05,0.00,4.3,23.3,42.4,16.4,0.42,6.09
2011-02-06,0.08,29.6,45.2,60.7,28.4,0.55,14.21
2011-02-07,0.24,15.3,25.6,35.8,25.1,0.04,1.90
2011-02-08,0.00,15.4,27.5,39.7,21.6,0.41,3.94
2011-02-09,0.28,-0.4,14.9,30.1,4.1,0.23,1.42
2011-02-10,0.00,-1.1,7.5,16.1,-2.0,0.32,1.45
2011-02-11,0.00,3.8,12.8,21.9,8.0,0.36,1.24
2011-02-12,0.00,8.0,25.8,43.5,14.8,0.35,6.48
2011-02-13,0.00,20.3,34.0,47.6,22.4,0.68,5.80
2011-02-14,0.00,29.4,48.6,67.7,26.5,1.24,18.09
2011-02-15,0.00,29.6,42.1,54.5,23.2,1.17,10.64
2011-02-16,0.00,30.1,50.2,70.2,24.1,1.18,21.43
2011-02-17,0.00,33.6,57.0,80.4,23.9,2.03,31.98
2011-02-18,0.00,26.1,50.6,75.2,24.4,0.85,25.59
2011-02-19,0.00,29.5,48.4,67.4,24.1,1.27,18.94
2011-02-20,0.00,38.5,59.0,79.4,44.4,0.52,28.03
2011-02-21,0.00,25.6,48.5,71.4,30.4,0.00,21.44
2011-02-22,0.00,23.5,36.1,48.7,18.4,0.79,8.38
2011-02-23,0.00,24.6,41.8,59.0,27.1,0.91,11.27
2011-02-24,0.00,34.1,53.9,73.7,22.0,0.85,26.05
2011-02-25,0.00,16.1,33.5,50.9,24.2,0.01,7.20
2011-02-26,0.00,21.2,33.3,45.4,24.0,0.07,5.69
2011-02-27,0.00,24.5,48.1,71.6,15.8,0.19,24.58
2011-02-28,0.00,23.0,49.0,74.9,18.6,0.72,27.48
2011-03-01,0.00,22.1,42.0,62.0,16.7,0.79,15.84
2011-03-02,0.00,34.0,53.4,72.9,15.7,3.37,25.22
2011-03-03,0.00,26.2,49.1,71.9,24.5,0.65,22.72
2011-03-04,0.00,27.6,52.2,76.8,24.7,0.75,27.36
2011-03-05,0.00,22.6,42.3,61.9,29.6,0.42,12.60
2011-03-06,0.00,27.8,41.8,55.8,17.3,1.07,12.35
2011-03-07,0.00,31.3,48.0,64.6,19.4,2.46,17.34
2011-03-08,0.03,30.3,42.9,55.4,27.1,0.04,10.81
2011-03-09,0.00,23.7,34.2,44.7,28.0,0.12,4.10
2011-03-10,0.00,24.5,42.0,59.6,19.7,0.63,14.40
2011-03-11,0.00,28.7,48.5,68.2,20.5,1.69,20.01
2011-03-12,0.00,32.3,57.3,82.2,19.1,1.47,35.11
2011-03-13,0.00,31.2,46.5,61.8,29.3,0.67,13.69
2011-03-14,0.00,27.3,43.9,60.6,30.2,0.34,11.36
2011-03-15,0.00,27.2,43.8,60.4,29.2,0.17,12.56
2011-03-16,0.00,28.8,49.7,70.6,30.5,0.31,20.33
2011-03-17,0.00,29.5,56.1,82.8,35.4,0.98,31.82
2011-03-18,0.00,30.0,59.6,89.2,27.1,1.10,44.53
2011-03-19,0.00,29.8,47.8,65.7,33.2,0.00,16.22
2011-03-20,0.00,40.1,52.7,65.3,47.7,0.48,8.75
2011-03-21,0.00,49.0,66.6,84.2,39.7,0.51,36.86
2011-03-22,0.00,51.6,67.5,83.4,49.7,0.48,30.91
2011-03-23,0.00,35.4,53.1,70.8,20.6,1.87,22.34
2011-03-24,0.00,33.1,50.5,67.8,14.0,2.60,20.88
2011-03-25,0.00,33.3,48.6,63.9,27.6,1.90,14.49
2011-03-26,0.00,33.7,55.8,77.9,22.6,1.02,30.01
2011-03-27,0.00,29.0,40.9,52.9,32.6,0.00,7.47
2011-03-28,0.00,31.2,40.1,48.9,33.6,0.00,4.76
2011-03-29,0.00,30.9,38.6,46.3,35.3,0.00,2.93
2011-03-30,0.00,27.3,38.0,48.7,31.5,0.04,5.62
2011-03-31,0.00,30.3,47.5,64.6,29.1,0.40,16.18
2011-04-01,0.00,33.0,52.4,71.8,30.4,1.00,20.80
2011-04-02,0.00,38.8,56.1,73.5,31.5,2.26,22.07
2011-04-03,0.00,40.4,64.2,88.1,28.6,2.76,40.99
2011-04-04,0.00,33.2,62.0,90.8,26.6,0.65,45.68
2011-04-05,0.00,32.9,44.8,56.6,13.2,1.58,13.56
2011-04-06,0.00,36.3,59.5,82.6,17.2,4.50,34.78
2011-04-07,0.00,49.1,62.2,75.3,30.1,4.35,25.45
2011-04-08,0.00,43.2,62.4,81.7,31.0,4.01,31.69
2011-04-09,0.00,43.2,65.7,88.2,25.7,4.13,41.29
2011-04-10,0.00,50.9,71.2,91.5,27.9,7.35,47.12
2011-04-11,0.00,38.1,55.6,73.1,15.8,2.68,25.14
2011-04-12,0.00,37.5,53.7,69.9,21.4,2.79,21.43
2011-04-13,0.00,38.6,59.0,79.5,22.3,3.95,31.00
2011-04-14,0.00,39.1,59.6,80.1,28.4,1.81,30.42
2011-04-15,0.00,38.3,55.9,73.4,26.9,1.49,25.21
2011-04-16,0.00,36.2,49.7,63.3,14.1,4.05,17.54
2011-04-17,0.00,30.1,51.8,73.5,15.6,2.33,25.32
2011-04-18,0.00,41.0,64.9,88.7,24.1,4.47,42.82
2011-04-19,0.00,45.6,68.3,90.9,25.7,2.87,45.33
2011-04-20,0.00,44.5,63.1,81.8,38.4,1.66,31.61
2011-04-21,0.00,39.6,53.2,66.9,35.9,1.40,15.50
2011-04-22,0.00,44.9,63.4,81.9,44.2,2.00,27.75
2011-04-23,0.00,47.8,67.6,87.5,30.5,2.81,40.10
2011-04-24,0.00,36.7,51.4,66.0,25.4,1.90,17.35
2011-04-25,0.00,39.5,55.6,71.7,44.5,0.00,16.82
2011-04-26,0.08,36.9,55.0,73.1,40.9,0.26,20.17
2011-04-27,0.00,41.3,57.1,72.8,38.7,0.53,21.90
2011-04-28,0.00,34.3,47.3,60.4,35.1,0.47,11.29
2011-04-29,0.00,36.3,55.4,74.4,27.1,1.21,25.78
2011-04-30,0.00,40.9,67.6,94.4,22.9,3.94,53.37
2011-05-01,0.00,42.0,55.1,68.1,18.4,4.04,20.12
2011-05-02,0.00,34.2,44.0,53.9,25.3,1.47,9.84
2011-05-03,0.00,30.6,45.1,59.6,25.1,1.08,13.36
2011-05-04,0.00,39.3,57.6,75.9,17.9,3.28,28.00
2011-05-05,0.00,45.1,63.0,80.9,23.4,4.29,32.57
2011-05-06,0.00,42.9,58.6,74.3,26.7,3.88,24.47
2011-05-07,0.00,46.6,69.1,91.6,25.2,5.93,47.94
2011-05-08,0.00,49.5,70.9,92.3,27.1,7.18,47.59
2011-05-09,0.00,53.7,76.0,98.3,7.9,10.38,60.98
2011-05-10,0.00,54.6,76.1,97.7,12.9,9.78,60.48
2011-05-11,0.65,54.9,74.0,93.1,37.4,2.32,48.29
2011-05-12,0.04,41.0,60.0,79.0,29.1,2.18,31.24
2011-05-13,0.00,42.2,58.7,75.2,34.3,2.00,23.94
2011-05-14,0.00,35.4,53.3,71.2,30.9,0.95,21.19
2011-05-15,0.00,36.1,51.8,67.5,33.6,0.92,16.40
2011-05-16,0.00,37.3,53.7,70.1,34.4,0.92,18.14
2011-05-17,0.00,39.3,57.4,75.5,37.8,1.44,22.35
2011-05-18,0.00,45.8,63.4,81.0,42.1,1.19,25.93
2011-05-19,0.00,51.9,70.4,88.9,31.0,4.99,42.90
2011-05-20,0.00,54.0,72.0,89.9,33.9,5.01,43.56
2011-05-21,0.00,47.3,64.3,81.3,24.8,5.58,33.20
2011-05-22,0.00,50.8,68.7,86.6,25.5,7.17,39.24
2011-05-23,0.00,52.1,73.1,94.1,26.9,7.06,51.31
2011-05-24,0.00,51.5,73.7,96.0,25.3,5.97,55.26
2011-05-25,0.00,51.4,70.7,90.0,25.2,5.21,45.12
2011-05-26,0.00,42.0,59.3,76.7,40.7,1.26,22.49
2011-05-27,0.00,44.2,64.6,84.9,39.7,1.49,33.83
2011-05-28,0.00,52.3,72.4,92.5,36.9,0.95,46.18
2011-05-29,0.00,57.7,77.6,97.5,46.5,1.13,51.96
2011-05-30,0.00,66.3,85.7,105.1,38.8,10.91,73.13
2011-05-31,0.00,47.0,73.5,100.0,33.5,5.40,62.51
2011-06-01,0.00,50.0,69.5,89.1,42.2,1.00,41.76
2011-06-02,0.00,65.8,80.4,94.9,54.3,2.71,41.93
2011-06-03,0.00,67.3,81.8,96.2,47.3,9.73,48.65
2011-06-04,0.00,64.1,80.1,96.1,43.8,9.29,49.89
2011-06-05,0.00,60.9,77.9,95.0,42.1,7.53,49.50
2011-06-06,0.00,62.5,79.4,96.3,41.0,9.35,49.82
2011-06-07,0.00,65.9,81.0,96.1,36.4,13.33,51.43
2011-06-08,0.00,66.8,85.3,103.9,36.0,13.48,69.90
2011-06-09,0.00,71.2,87.6,104.0,34.7,14.79,70.57
2011-06-10,0.00,56.0,76.9,97.9,40.1,3.26,55.88
2011-06-11,0.00,55.4,68.7,82.1,52.1,2.22,24.31
2011-06-12,0.00,62.1,78.0,93.8,50.7,3.85,43.60
2011-06-13,0.00,65.8,84.8,103.9,34.9,9.81,71.51
2011-06-14,0.00,70.4,89.0,107.5,32.8,15.01,78.18
2011-06-15,0.00,58.8,76.2,93.7,47.4,4.60,44.73
2011-06-16,0.00,60.8,78.7,96.6,49.1,4.70,50.32
2011-06-17,0.00,65.0,86.0,106.9,28.5,11.77,78.67
2011-06-18,0.00,57.2,79.2,101.3,36.4,4.29,63.03
2011-06-19,0.00,62.3,80.5,98.8,40.3,5.23,57.45
2011-06-20,0.00,64.1,84.4,104.6,28.7,10.14,72.57
2011-06-21,0.00,58.4,73.7,89.0,40.3,5.32,40.87
2011-06-22,0.00,58.3,74.4,90.4,40.5,7.17,41.21
2011-06-23,0.00,59.7,78.4,97.1,41.2,8.38,51.85
2011-06-24,0.00,61.4,83.2,104.9,39.8,7.62,69.21
2011-06-25,0.00,61.3,85.2,109.1,34.1,9.26,81.58
2011-06-26,0.00,69.9,87.6,105.3,40.6,13.30,70.96
2011-06-27,0.00,70.8,91.0,111.2,33.5,12.01,88.71
2011-06-28,0.48,64.6,78.3,92.0,56.5,2.10,36.69
2011-06-29,0.00,60.3,78.1,95.9,56.6,0.98,43.87
2011-06-30,0.00,65.1,83.7,102.4,47.5,8.04,61.60
2011-07-01,0.00,69.0,84.6,100.2,46.6,11.45,55.88
2011-07-02,0.00,66.0,82.0,97.9,47.7,8.11,52.19
2011-07-03,0.02,68.3,83.0,97.6,53.1,8.86,49.13
2011-07-04,0.13,63.5,81.9,100.4,54.7,2.34,55.04
2011-07-05,0.00,65.8,80.9,96.0,53.2,4.62,46.44
2011-07-06,0.00,66.4,84.0,101.5,50.5,6.93,58.43
2011-07-07,0.00,69.4,86.0,102.7,46.3,11.03,62.39
2011-07-08,0.00,70.3,85.8,101.4,51.7,7.58,58.28
2011-07-09,0.00,71.9,88.7,105.4,51.6,8.10,68.27
2011-07-10,0.00,74.5,91.1,107.7,47.6,15.51,73.90
2011-07-11,0.00,69.0,85.6,102.1,50.5,10.10,58.48
2011-07-12,0.00,66.6,82.8,98.9,52.4,5.57,51.63
2011-07-13,0.00,66.5,82.4,98.3,58.8,3.85,47.79
2011-07-14,0.07,71.2,85.6,100.0,60.1,6.47,50.41
2011-07-15,0.00,71.5,86.4,101.4,53.7,8.30,57.26
2011-07-16,0.00,72.1,88.1,104.1,52.8,11.47,62.03
2011-07-17,0.00,70.8,87.2,103.6,53.5,9.08,60.82
2011-07-18,0.00,71.0,85.2,99.5,55.0,9.59,51.33
2011-07-19,0.00,70.3,85.0,99.8,54.5,9.23,51.33
2011-07-20,0.00,72.2,87.1,102.0,53.2,10.88,57.44
2011-07-21,0.00,73.8,88.9,104.1,53.3,12.37,61.70
2011-07-22,0.00,70.4,86.5,102.7,54.9,8.88,58.65
2011-07-23,0.00,70.3,86.2,102.1,56.4,7.96,55.65
2011-07-24,0.00,71.8,85.4,99.0,56.8,8.60,49.96
2011-07-25,0.00,72.6,87.4,102.1,54.9,10.13,57.99
2011-07-26,0.27,69.3,85.1,100.9,58.8,6.48,53.72
2011-07-27,0.00,71.1,87.8,104.4,49.5,9.33,65.06
2011-07-28,0.00,72.4,88.7,105.1,50.9,12.55,64.98
2011-07-29,0.00,69.0,85.3,101.6,53.4,5.09,58.17
2011-07-30,0.05,69.5,83.6,97.7,60.5,4.79,46.13
2011-07-31,0.00,69.8,84.6,99.5,57.7,6.01,50.63
2011-08-01,0.00,70.3,85.6,101.0,55.9,8.07,52.95
2011-08-02,0.00,70.8,86.5,102.3,46.6,13.49,59.94
2011-08-03,0.00,69.4,87.8,106.2,50.9,7.07,67.91
2011-08-04,0.30,69.4,83.5,97.5,60.2,5.30,45.50
2011-08-05,0.00,70.1,85.8,101.6,55.0,6.16,56.76
2011-08-06,0.00,69.9,87.4,104.9,57.2,6.45,62.69
2011-08-07,0.01,70.7,83.4,96.2,57.7,6.56,44.43
2011-08-08,0.01,68.7,86.8,104.9,54.9,8.08,63.88
2011-08-09,0.00,66.4,86.1,105.9,52.7,3.45,69.57
2011-08-10,0.18,67.8,84.5,101.2,57.9,4.17,53.71
2011-08-11,0.02,66.1,78.9,91.7,61.0,2.76,32.99
2011-08-12,0.05,66.3,76.4,86.6,61.7,2.21,25.83
2011-08-13,0.09,67.0,83.3,99.6,60.4,2.06,51.46
2011-08-14,0.00,65.8,78.3,90.7,62.2,1.57,32.60
2011-08-15,0.00,66.2,80.8,95.5,58.1,3.00,44.31
2011-08-16,0.00,68.8,83.9,98.9,53.0,6.04,51.95
2011-08-17,0.25,72.4,88.0,103.6,55.6,8.19,60.57
2011-08-18,0.00,69.8,83.3,96.8,57.5,6.72,45.23
2011-08-19,0.00,70.0,86.9,103.8,53.1,8.94,61.36
2011-08-20,0.00,70.4,87.0,103.6,52.0,9.37,62.01
2011-08-21,0.00,71.1,84.2,97.3,54.6,8.04,48.78
2011-08-22,0.00,69.7,83.7,97.7,54.1,7.25,48.46
2011-08-23,0.00,71.4,87.2,103.0,49.8,12.70,60.88
2011-08-24,0.00,72.5,88.0,103.6,50.9,13.84,61.15
2011-08-25,0.12,68.3,86.7,105.0,52.5,6.93,65.51
2011-08-26,0.00,67.8,82.9,98.1,57.0,5.89,48.31
2011-08-27,0.00,69.0,85.3,101.6,49.7,7.19,59.33
2011-08-28,0.00,70.6,87.8,105.1,44.8,13.43,66.92
2011-08-29,0.01,71.7,88.3,104.8,50.6,9.33,65.75
2011-08-30,0.00,71.2,85.5,99.7,54.3,8.32,52.14
2011-08-31,0.00,68.4,86.0,103.6,49.7,8.92,61.93
2011-09-01,0.00,64.7,85.1,105.5,45.5,8.15,67.06
2011-09-02,0.00,64.0,81.8,99.6,47.9,9.04,53.72
2011-09-03,0.00,63.1,81.2,99.4,46.2,8.11,55.23
2011-09-04,0.05,59.9,79.0,98.0,54.9,2.55,49.58
2011-09-05,0.00,47.6,61.8,76.0,40.8,2.84,23.31
2011-09-06,0.00,47.7,63.5,79.3,38.0,3.28,26.96
2011-09-07,0.00,51.4,69.5,87.6,35.7,5.49,37.26
2011-09-08,0.00,55.2,65.6,76.1,39.8,3.70,24.11
2011-09-09,0.00,53.3,66.8,80.3,43.2,3.82,26.38
2011-09-10,0.00,51.5,66.6,81.6,38.3,4.11,28.93
2011-09-11,0.00,51.6,68.5,85.4,39.7,4.66,34.39
2011-09-12,0.00,55.1,72.2,89.2,42.5,4.70,38.96
2011-09-13,0.00,62.6,79.7,96.9,40.1,9.88,52.60
2011-09-14,0.00,57.8,76.0,94.2,47.1,1.49,46.39
2011-09-15,0.32,50.4,62.8,75.2,53.4,0.21,16.34
2011-09-16,0.19,42.3,47.8,53.3,47.8,0.00,2.76
2011-09-17,0.00,45.2,60.4,75.7,57.7,0.00,14.04
2011-09-18,0.00,58.1,74.5,90.9,50.1,0.91,41.54
2011-09-19,0.00,50.5,66.8,83.0,44.6,0.92,31.03
2011-09-20,0.00,50.5,68.4,86.3,41.9,2.19,34.58
2011-09-21,0.00,52.8,70.7,88.7,42.5,4.38,37.51
2011-09-22,0.00,48.3,62.4,76.5,41.8,1.18,21.67
2011-09-23,0.03,48.9,60.7,72.5,46.3,0.83,17.10
2011-09-24,0.00,51.2,70.0,88.9,37.1,2.14,41.90
2011-09-25,0.00,54.8,74.6,94.4,34.9,5.30,49.94
2011-09-26,0.00,53.3,69.5,85.8,44.1,3.38,32.74
2011-09-27,0.00,54.2,69.0,83.9,43.2,4.83,30.20
2011-09-28,0.00,54.7,71.1,87.6,46.0,4.30,34.75
2011-09-29,0.00,55.4,74.9,94.3,41.9,4.55,47.60
2011-09-30,0.00,47.4,67.1,86.9,35.6,5.59,35.28
2011-10-01,0.00,46.8,61.5,76.2,26.4,5.56,26.04
2011-10-02,0.00,49.6,67.0,84.4,29.7,6.47,34.83
2011-10-03,0.00,51.5,70.5,89.5,37.0,6.46,40.79
2011-10-04,0.00,53.0,70.9,88.8,38.6,5.95,39.66
2011-10-05,0.00,52.1,67.3,82.5,33.7,5.70,31.73
2011-10-06,0.20,54.9,60.2,65.5,53.3,0.79,10.95
2011-10-07,0.00,56.6,68.6,80.5,57.5,1.32,19.28
2011-10-08,0.41,52.1,67.8,83.4,56.0,0.92,25.40
2011-10-09,0.00,47.3,55.0,62.8,45.8,0.71,10.41
2011-10-10,0.00,45.2,53.0,60.8,45.2,0.15,8.48
2011-10-11,0.00,49.9,61.6,73.4,49.7,0.26,19.32
2011-10-12,0.00,50.8,64.9,78.9,50.7,0.27,25.03
2011-10-13,0.00,44.7,60.2,75.7,38.4,0.99,23.94
2011-10-14,0.00,43.8,60.3,76.9,38.8,2.36,23.97
2011-10-15,0.00,44.8,60.7,76.7,41.8,1.63,22.42
2011-10-16,0.00,44.5,63.1,81.7,42.5,1.84,28.52
2011-10-17,0.00,43.3,61.9,80.4,40.6,1.63,27.14
2011-10-18,0.00,39.2,55.9,72.5,38.8,1.04,18.25
2011-10-19,0.00,36.7,48.8,60.9,25.3,1.27,14.39
2011-10-20,0.00,37.3,50.4,63.5,24.5,2.91,15.72
2011-10-21,0.00,38.2,55.2,72.1,28.9,2.41,21.74
2011-10-22,0.00,39.6,59.0,78.4,32.1,2.14,28.13
2011-10-23,0.00,41.1,58.5,75.9,42.1,1.16,21.11
2011-10-24,0.00,44.8,62.3,79.8,34.8,1.99,29.19
